plc_score-w-std,adv_ev-w-win99-std,first_ev-w-win99-std_mean,adv_euclid,adv_experience,adviser,stu_sex,school_rank-w,stu_year,stu_jel,stu_school,adv_occ
,,,0.0,0,a6701762673,male,281,2001,O,Kansas State University,0.0
,-0.037341806980354,0.6717294823530524,396.54,42,a7005755561,male,418,2002,F,Carleton University,1.0
,-0.1423923512785845,-0.1409562155739342,36.455,5,a7103331291,male,196,2003,O,George Washington University,2.0
1.511738076619731,-0.1423923512785845,-0.1409562155739342,36.455,5,a7103331291,female,80,2003,I,University of Georgia,2.0
,-0.165232171715011,-0.1557975827186122,156.9,12,a7004277360,male,113,2002,O,Purdue University,0.0
,-0.1043030465105924,-0.1550428941688321,38.962,34,a7003954373,male,14,2002,F,University of Pennsylvania,1.0
,-0.1422946984778352,-0.0858870938613029,12.49,5,a56186358900,female,45,2002,O,Brown University,0.0
,-0.1422946984778352,-0.0858870938613029,12.49,5,a56186358900,male,5,2002,I,Stanford University,0.0
,-0.1422946984778352,-0.0858870938613029,12.49,5,a56186358900,male,24,2002,G,University of Illinois,0.0
,-0.1422946984778352,-0.0858870938613029,12.49,5,a56186358900,female,42,2002,D,New York University,0.0
,-0.1547840899031657,-0.1285824413406154,56.018,23,a6603921865,female,9,2002,F,University of Chicago,1.0
,-0.1547840899031657,-0.1285824413406154,56.018,23,a6603921865,male,2,2002,F,Massachusetts Institute of Technology,1.0
,-0.1127956444351897,-0.077187853982869,326.53,29,a7201541273,male,424,2004,E,George Mason University,1.0
,0.2513518959199094,1.47379414371004,44.34,27,a6701610761,female,222,2000,J,Georgetown University,0.0
0.223295594678742,-0.150903052868318,0.1372107435100663,155.71,13,a6505875912,male,337,2002,O,Northeastern University,1.0
,-0.1672150127784709,-0.1672144961233805,53.796,18,a7003433000,male,612,2002,O,Fordham University,0.0
,-0.1672150127784709,-0.1672144961233805,53.796,18,a7003433000,male,22,2002,E,Johns Hopkins University,0.0
,-0.142498927870356,-0.1423726274912406,82.335,30,a7404357700,male,69,2003,E,Vanderbilt University,1.0
0.1258480770128304,-0.1029911760786072,-0.141465170552991,1333.2,16,a7004087804,female,15,2001,J,University of Wisconsin,1.0
,-0.1533407683382818,-0.0350171614948981,4.5826,4,a7102282544,male,15,2001,M,University of Wisconsin,1.0
-0.2789930416849852,-0.1653018571440704,-0.1609852157947903,134.72,23,a7402079526,female,77,2002,E,University of Virginia,2.0
,-0.1653018571440704,-0.1609852157947903,134.72,23,a7402079526,female,6,2002,O,Yale University,2.0
0.1174772203203479,-0.1653018571440704,-0.1609852157947903,134.72,23,a7402079526,male,47,2002,I,Washington University in St. Louis,2.0
,-0.1405938541995067,-0.1249538883190508,29.648,14,a6603691303,male,3,2003,G,Massachusetts Institute of Technology,3.0
6.409564317647208,-0.1405938541995067,-0.1249538883190508,29.648,14,a6603691303,male,35,2003,I,University of Maryland,3.0
,-0.1405938541995067,-0.1249538883190508,29.648,14,a6603691303,male,222,2003,M,Simon Fraser University,3.0
0.4452319590871013,-0.0862176120965612,0.4371223515852532,456.18,31,a56209838200,female,168,2004,J,Queen's University,1.0
,-0.1422377612005667,-0.1413763647013973,14.422,6,a56186358900,male,20,2003,H,University of Michigan,0.0
,-0.1422377612005667,-0.1413763647013973,14.422,6,a56186358900,male,380,2003,O,University of Manitoba,0.0
,-0.1422377612005667,-0.1413763647013973,14.422,6,a56186358900,male,117,2003,F,Iowa State University,0.0
,,,143.43,30,a7003765308,female,76,2000,O,Vanderbilt University,0.0
,-0.142786767739272,-0.1427341295772785,39.724,26,a6701770884,male,2,2004,G,Harvard University,0.0
1.390604299859195,-0.1325163185043377,-0.1393815042084344,60.671,10,a57203256449,male,11,2001,D,University of Chicago,2.0
,,,27.258,19,a7801335712,female,24,2002,L,University of Illinois,0.0
,-0.1483696805508171,-0.141796895772899,525.19,34,a55740119700,male,101,2000,O,Colorado State University,0.0
,-0.1437866935616019,-0.0457951199478584,198.29,36,a7005286020,female,60,2000,O,Michigan State University,0.0
,-0.1437866935616019,-0.0457951199478584,198.29,36,a7005286020,male,29,2000,J,University of North Carolina,0.0
14.816650960780333,-0.1425557409750624,-0.1419414308861901,77.518,22,a7004855546,male,4,2004,D,Stanford University,1.0
,-0.1424058739342902,-0.141715080393858,131.29,29,a6603149337,female,77,2003,G,"University of Illinois, Chicago",1.0
-0.3048180346503258,-0.1424058739342902,-0.141715080393858,131.29,29,a6603149337,male,52,2003,I,Washington University in St. Louis,1.0
-0.0999051498338452,-0.1417804172083108,-0.140351062425974,347.53,34,a7005554689,male,6,2003,D,University of Washington,2.0
,-0.1417804172083108,-0.140351062425974,347.53,34,a7005554689,male,7,2003,M,University of Chicago,2.0
0.3162410337052192,,,17.088,33,a56572650600,male,40,2003,J,Duke University,0.0
,-0.142595860532928,-0.0785873348761603,64.807,25,a7403868488,male,32,2002,O,University of Minnesota,4.0
0.520695326312573,-0.142595860532928,-0.0785873348761603,64.807,25,a7403868488,male,21,2002,I,University of Michigan,4.0
-0.2321829046399592,-0.1666064079371372,-0.1634917107297929,7.0711,3,a7003290720,male,156,2002,O,University of Houston,2.0
8.364444261116244,-0.1666064079371372,-0.1634917107297929,7.0711,3,a7003290720,female,16,2002,J,University of Wisconsin,2.0
3.417601579959592,-0.1666064079371372,-0.1634917107297929,7.0711,3,a7003290720,male,53,2002,J,University of Rochester,2.0
,-0.1666064079371372,-0.1634917107297929,7.0711,3,a7003290720,male,229,2002,D,University at Buffalo,2.0
,-0.1666064079371372,-0.1634917107297929,7.0711,3,a7003290720,female,291,2002,F,Wayne State University,2.0
,-0.1243203629501542,0.1245815946297985,60.737,9,a6603823807,male,11,2003,E,"University of California, Los Angeles",2.0
-0.1148920091436416,-0.1243203629501542,0.1245815946297985,60.737,9,a6603823807,female,20,2003,I,University of Michigan,2.0
2.757024699868861,-0.1670210947453269,-0.1611880242441184,159.05,19,a7003604078,female,12,2002,J,"University of California, Los Angeles",2.0
,-0.1670210947453269,-0.1611880242441184,159.05,19,a7003604078,female,484,2002,O,Southern Illinois University,2.0
,-0.1670210947453269,-0.1611880242441184,159.05,19,a7003604078,male,1,2002,E,"University of California, Berkeley",2.0
5.793052139387619,-0.1670210947453269,-0.1611880242441184,159.05,19,a7003604078,male,61,2002,J,University of Iowa,2.0
