plc_score-w-std,adv_ev-w-win99-std,first_ev-w-win99-std_mean,adv_euclid,adv_experience,adviser,stu_sex,school_rank-w,stu_year,stu_jel,stu_school,adv_occ
,-0.1572783759396782,-0.1444113715537397,5.099,3,a35434749600,female,21,2001,J,Columbia University,1.0
,-0.1555528019297418,-0.1468091755455824,95.88,12,a7005549496,male,281,2001,O,Kansas State University,1.0
,-0.1555528019297418,-0.1468091755455824,95.88,12,a7005549496,female,27,2001,O,University of Minnesota,1.0
,-0.1555528019297418,-0.1468091755455824,95.88,12,a7005549496,male,31,2001,O,University of North Carolina,1.0
,-0.1425020065951856,-0.1425140259635847,4.2426,3,a36109285800,male,196,2003,O,George Washington University,0.0
,0.1084324325430721,0.314692443746061,187.73,37,a7006516129,male,113,2002,O,Purdue University,1.0
0.2998746048225936,0.1084324325430721,0.314692443746061,187.73,37,a7006516129,male,29,2002,O,University of Colorado,1.0
3.8312876692795705,0.1084324325430721,0.314692443746061,187.73,37,a7006516129,female,121,2002,O,University of Notre Dame,1.0
,-0.1641339069038529,-0.1464663659588328,140.26,23,a6603272098,male,14,2002,F,University of Pennsylvania,1.0
5.793052139387619,-0.1641339069038529,-0.1464663659588328,140.26,23,a6603272098,male,3,2002,F,Harvard University,1.0
,0.4808853519115499,0.4812371492379059,1141.0,35,a57208457063,female,45,2002,O,Brown University,0.0
,-0.1518060947447308,0.1436119883236005,510.09,40,a7102933565,female,9,2002,F,University of Chicago,0.0
,-0.1428004055182187,-0.1427975049399505,14.832,13,a26431064500,male,424,2004,E,George Mason University,0.0
,,,30.935,24,a7404547800,female,222,2000,J,Georgetown University,0.0
0.223295594678742,-0.0091072141760594,1.029097044207534,96.85,26,a7202905604,male,337,2002,O,Northeastern University,2.0
,-0.1659136711595376,-0.1625504388481123,36.139,25,a7006720256,male,612,2002,O,Fordham University,0.0
,-0.1659136711595376,-0.1625504388481123,36.139,25,a7006720256,male,668,2002,O,Howard University,0.0
,-0.1424993394432443,-0.1423178023844588,4.2426,7,a7402065791,male,69,2003,E,Vanderbilt University,0.0
0.1258480770128304,-0.1576235768391591,-0.1568307442686295,17.972,5,a6603539469,female,15,2001,J,University of Wisconsin,2.0
,-0.1571771669760277,-0.155265094153746,207.3,37,a7005286020,male,15,2001,M,University of Wisconsin,3.0
7.206798739818909,-0.1571771669760277,-0.155265094153746,207.3,37,a7005286020,male,6,2001,M,Yale University,3.0
-0.2789930416849852,-0.1623251921361253,-0.140654409196041,111.84,17,a7003433892,female,77,2002,E,University of Virginia,1.0
,-0.1463348262434801,-0.075282220466224,363.27,23,a6701603939,female,11,2001,G,University of Chicago,1.0
,-0.1463348262434801,-0.075282220466224,363.27,23,a6701603939,male,3,2001,G,Harvard University,1.0
,-0.1424234135837812,-0.1409703471878645,5.4772,8,a36855902100,male,3,2003,G,Massachusetts Institute of Technology,0.0
,-0.1424234135837812,-0.1409703471878645,5.4772,8,a36855902100,male,18,2003,G,Columbia University,0.0
0.4452319590871013,5.050476011895944,2.652915688203956,462.9,14,a7102925200,female,168,2004,J,Queen's University,2.0
,5.050476011895944,2.652915688203956,462.9,14,a7102925200,male,371,2004,J,York University,2.0
,5.050476011895944,2.652915688203956,462.9,14,a7102925200,male,1,2004,J,"University of California, Berkeley",2.0
,-0.1396833636517181,-0.1236611126386653,89.733,15,a7401499166,male,20,2003,H,University of Michigan,1.0
,-0.1490213944489926,-0.1392793322148716,54.213,19,a7201747318,female,76,2000,O,Vanderbilt University,0.0
,-0.1490213944489926,-0.1392793322148716,54.213,19,a7201747318,male,52,2000,O,Washington University in St. Louis,0.0
,-0.1490213944489926,-0.1392793322148716,54.213,19,a7201747318,male,1042,2000,O,Claremont Graduate University,0.0
,-0.1490213944489926,-0.1392793322148716,54.213,19,a7201747318,male,70,2000,O,Ohio State University,0.0
,-0.1425304117849721,-0.1421072641402127,1377.8,33,a7401610061,male,2,2004,G,Harvard University,0.0
1.390604299859195,2.815733347073408,0.8106947574326763,173.46,26,a6603414469,male,11,2001,D,University of Chicago,2.0
,-0.1667192624552561,-0.1583402274655983,30.414,9,a7004123557,female,24,2002,L,University of Illinois,1.0
,-0.1233977102679776,-0.0431073007734095,93.381,18,a7005665190,male,101,2000,O,Colorado State University,1.0
,-0.1233977102679776,-0.0431073007734095,93.381,18,a7005665190,male,76,2000,O,Vanderbilt University,1.0
-0.3018013524619238,-0.1233977102679776,-0.0431073007734095,93.381,18,a7005665190,female,26,2000,O,University of Minnesota,1.0
,-0.149238251188264,-0.1492225552263725,11.314,9,a6508358567,female,60,2000,O,Michigan State University,1.0
14.816650960780333,-0.1426842058071823,-0.1408020854525152,31.385,12,a7410394025,male,4,2004,D,Stanford University,2.0
,-0.1425015729042417,-0.1424949001710117,22.738,15,a7801565243,female,77,2003,G,"University of Illinois, Chicago",1.0
,-0.1425015729042417,-0.1424949001710117,22.738,15,a7801565243,male,37,2003,G,"University of California, Irvine",1.0
-0.0999051498338452,-0.1369853109264772,-0.0925060202479634,66.061,22,a35884767100,male,6,2003,D,University of Washington,1.0
,-0.1424219806833799,-0.1347656999979842,303.66,24,a24495144300,male,131,2004,D,University of Missouri,2.0
0.3162410337052192,,,201.72,32,a7004640479,male,40,2003,J,Duke University,0.0
,,,201.72,32,a7004640479,female,25,2003,J,Johns Hopkins University,0.0
,-0.1646928581896503,-0.1604474083951707,28.948,19,a24784705200,male,32,2002,O,University of Minnesota,0.0
-0.2321829046399592,-0.0698711364915284,-0.0480823587899066,32.726,17,a6603700685,male,156,2002,O,University of Houston,3.0
,-0.0698711364915284,-0.0480823587899066,32.726,17,a6603700685,male,22,2002,O,Johns Hopkins University,3.0
,-0.0698711364915284,-0.0480823587899066,32.726,17,a6603700685,female,655,2002,O,American University,3.0
,-0.0698711364915284,-0.0480823587899066,32.726,17,a6603700685,male,261,2002,O,Simon Fraser University,3.0
,-0.1424988194040632,-0.1421984248026878,146.03,21,a6602264505,male,11,2003,E,"University of California, Los Angeles",0.0
,-0.0198674661606292,-0.1148001042312815,240.38,23,a6701845739,male,43,2001,D,Brown University,1.0
2.757024699868861,-0.1006566321807667,-0.0013226726437019,99.247,10,a7006281660,female,12,2002,J,"University of California, Los Angeles",2.0
-0.0718018400845972,-0.1672105845097798,-0.167009216662419,27.037,34,a7004551829,male,991,2002,H,Claremont Graduate University,1.0
