plc_score-w-std,adv_ev-w-win99-std,first_ev-w-win99-std_mean,adv_euclid,adv_experience,adviser,stu_sex,school_rank-w,stu_year,stu_jel,stu_school,adv_occ
,-0.1562015505135111,-0.1420936865499082,44.508,8,a6602306535,female,21,2001,J,Columbia University,0.0
,-0.1562015505135111,-0.1420936865499082,44.508,8,a6602306535,female,185,2001,G,Queen's University,0.0
,-0.1667419908455883,-0.1651088959489123,10.488,4,a6602793884,male,418,2002,F,Carleton University,2.0
,-0.1667419908455883,-0.1651088959489123,10.488,4,a6602793884,male,12,2002,E,"University of California, Los Angeles",2.0
-0.0599780812619206,-0.1667419908455883,-0.1651088959489123,10.488,4,a6602793884,male,3,2002,G,Harvard University,2.0
,-0.1667419908455883,-0.1651088959489123,10.488,4,a6602793884,male,991,2002,O,Claremont Graduate University,2.0
,-0.1424234335980179,-0.14149462795761,51.643,14,a23122476600,male,196,2003,O,George Washington University,0.0
,-0.1424234335980179,-0.14149462795761,51.643,14,a23122476600,male,37,2003,O,"University of California, Irvine",0.0
,-0.1424234335980179,-0.14149462795761,51.643,14,a23122476600,male,495,2003,L,West Virginia University,0.0
,-0.1621258339517878,-0.0705034780822221,35.637,31,a6603699949,male,113,2002,O,Purdue University,1.0
,-0.1509776026921549,-0.0924766769869284,87.006,38,a7401524146,male,14,2002,F,University of Pennsylvania,3.0
0.1482023127596558,-0.1509776026921549,-0.0924766769869284,87.006,38,a7401524146,male,32,2002,J,University of Minnesota,3.0
-0.2140729249602788,-0.1509776026921549,-0.0924766769869284,87.006,38,a7401524146,male,464,2002,J,"University of Wisconsin, Milwaukee",3.0
12.607173958091977,-0.1509776026921549,-0.0924766769869284,87.006,38,a7401524146,male,9,2002,E,University of Chicago,3.0
,-0.1670173549638428,-0.1618600239787512,12.767,6,a6602676810,female,45,2002,O,Brown University,2.0
,-0.1630901799037101,-0.1582047656048529,42.297,25,a36007459400,female,9,2002,F,University of Chicago,2.0
,-0.1414221884305605,-0.126521089376521,358.25,23,a7403704966,male,424,2004,E,George Mason University,1.0
,-0.1490014443125841,-0.1449726744082654,15.067,7,a6701854177,female,222,2000,J,Georgetown University,0.0
0.223295594678742,-0.1616380078699148,-0.0674159755318068,26.268,23,a35997540500,male,337,2002,O,Northeastern University,1.0
,-0.1616380078699148,-0.0674159755318068,26.268,23,a35997540500,male,5,2002,I,Stanford University,1.0
,-0.1616380078699148,-0.0674159755318068,26.268,23,a35997540500,female,6,2002,C,Yale University,1.0
,-0.136468611038704,-0.1297668181487387,139.26,24,a6602558896,male,612,2002,O,Fordham University,1.0
5.793052139387619,-0.136468611038704,-0.1297668181487387,139.26,24,a6602558896,male,3,2002,F,Harvard University,1.0
,-0.1424994804645215,-0.1424714875941571,40.41,20,a55476171100,male,69,2003,E,Vanderbilt University,0.0
,-0.1424994804645215,-0.1424714875941571,40.41,20,a55476171100,male,11,2003,E,"University of California, Los Angeles",0.0
