plc_score-w-std,adv_ev-w-win99-std,first_ev-w-win99-std_mean,adv_euclid,adv_experience,adviser,stu_sex,school_rank-w,stu_year,stu_jel,stu_school,adv_occ
,3.793475762095977,1.6207973181982225,174.98,24,a7202543968,female,21,2001,J,Columbia University,1.0
,-0.0240558434495791,0.7705246654431526,121.04,14,a6603673032,male,281,2001,O,Kansas State University,1.0
,-0.0240558434495791,0.7705246654431526,121.04,14,a6603673032,male,94,2001,O,University of Missouri,1.0
,-0.1411243576006933,-0.1339274488641617,153.81,15,a6701569716,male,418,2002,F,Carleton University,0.0
,,,50.0,5,a35118312500,male,196,2003,O,George Washington University,0.0
,,,4.1231,4,a57225688685,male,113,2002,O,Purdue University,0.0
,,,4.1231,4,a57225688685,female,6,2002,O,Yale University,0.0
,,,4.1231,4,a57225688685,female,503,2002,O,Lehigh University,0.0
,,,1.0,2,a6507261967,male,14,2002,F,University of Pennsylvania,0.0
,-0.1636393992084499,-0.1434011940439264,32.909,46,a6602498789,female,45,2002,O,Brown University,0.0
,-0.1587277307817059,-0.1376384255717406,140.8,22,a6701738833,female,9,2002,F,University of Chicago,2.0
1.4807395441567175,-0.1587277307817059,-0.1376384255717406,140.8,22,a6701738833,male,237,2002,F,Boston College,2.0
,-0.1587277307817059,-0.1376384255717406,140.8,22,a6701738833,male,464,2002,F,"University of Wisconsin, Milwaukee",2.0
,-0.1418262076349345,-0.1356137791848477,30.741,15,a6602303699,male,424,2004,E,George Mason University,3.0
,-0.1418262076349345,-0.1356137791848477,30.741,15,a6602303699,male,37,2004,E,"University of California, Irvine",3.0
,-0.1112989119190289,0.2514807534575514,22.159,18,a55439615500,female,222,2000,J,Georgetown University,3.0
0.223295594678742,-0.1671978687504423,-0.1667204299142281,26.514,34,a6602844657,male,337,2002,O,Northeastern University,2.0
,-0.1671978687504423,-0.1667204299142281,26.514,34,a6602844657,male,1144,2002,O,New School for Social Research,2.0
1.1709981823738234,-0.1671978687504423,-0.1667204299142281,26.514,34,a6602844657,male,36,2002,O,University of Maryland,2.0
,-0.1671978687504423,-0.1667204299142281,26.514,34,a6602844657,male,261,2002,O,Simon Fraser University,2.0
4.424680927634758,-0.1671978687504423,-0.1667204299142281,26.514,34,a6602844657,female,503,2002,O,Lehigh University,2.0
,-0.1671912903069823,-0.1670736629724986,19.365,16,a6602376770,male,612,2002,O,Fordham University,1.0
,-0.1671912903069823,-0.1670736629724986,19.365,16,a6602376770,male,24,2002,O,University of Illinois,1.0
-0.0298271083454986,-0.1671912903069823,-0.1670736629724986,19.365,16,a6602376770,male,45,2002,O,Brown University,1.0
,-0.1424620259123596,-0.1420020177406085,87.0,15,a6701731485,male,69,2003,E,Vanderbilt University,0.0
0.1258480770128304,-0.1469052755584213,-0.123143575417127,15.46,8,a55463835400,female,15,2001,J,University of Wisconsin,1.0
,-0.1469052755584213,-0.123143575417127,15.46,8,a55463835400,male,281,2001,J,Kansas State University,1.0
,-0.104342870464722,-0.0240128412606271,660.07,19,a7005051204,male,15,2001,M,University of Wisconsin,3.0
,-0.104342870464722,-0.0240128412606271,660.07,19,a7005051204,male,111,2001,M,Purdue University,3.0
-0.2789930416849852,-0.1664148992459546,-0.1627326456211926,26.192,5,a6602609493,female,77,2002,E,University of Virginia,1.0
,-0.1114036486335027,-0.0965643091652596,216.49,22,a6603845006,female,11,2001,G,University of Chicago,1.0
,-0.1114036486335027,-0.0965643091652596,216.49,22,a6603845006,female,19,2001,G,Johns Hopkins University,1.0
,-0.1114036486335027,-0.0965643091652596,216.49,22,a6603845006,male,991,2001,G,City University of New York,1.0
,-0.1423808043931075,-0.1414726256520162,57.393,24,a6603921865,male,3,2003,G,Massachusetts Institute of Technology,1.0
0.4452319590871013,-0.1427999125093276,-0.1427136130024436,54.415,21,a57191123329,female,168,2004,J,Queen's University,2.0
5.841273637672008,-0.1427999125093276,-0.1427136130024436,54.415,21,a57191123329,male,36,2004,J,New York University,2.0
,-0.1395348354665167,-0.1310033886117609,229.34,31,a6506516828,male,20,2003,H,University of Michigan,1.0
,-0.142964971180897,-0.1253444223705442,151.53,31,a24395324300,female,76,2000,O,Vanderbilt University,1.0
,-0.1079442157898202,0.3989686426255039,258.48,23,a6701809311,male,2,2004,G,Harvard University,0.0
1.390604299859195,-0.1578949818692283,-0.1553660775034561,68.491,6,a7202419137,male,11,2001,D,University of Chicago,2.0
4.45013123095667,-0.1578949818692283,-0.1553660775034561,68.491,6,a7202419137,male,2,2001,D,Massachusetts Institute of Technology,2.0
,-0.1183107011606828,0.0662499518261962,108.77,19,a6603419065,female,24,2002,L,University of Illinois,1.0
,-0.1183107011606828,0.0662499518261962,108.77,19,a6603419065,male,261,2002,L,Simon Fraser University,1.0
-0.2396561564023892,-0.1183107011606828,0.0662499518261962,108.77,19,a6603419065,male,119,2002,L,University of New Mexico,1.0
,-0.1476616222360381,-0.1242811981493825,4.4721,7,a35996396300,female,60,2000,O,Michigan State University,0.0
14.816650960780333,-0.09874627560909,0.0135742079996035,198.18,10,a7102425571,male,4,2004,D,Stanford University,1.0
1.6620231877371865,-0.09874627560909,0.0135742079996035,198.18,10,a7102425571,male,10,2004,D,Yale University,1.0
,-0.1424588130463287,-0.1416465396796606,33.541,13,a6602404060,female,77,2003,G,"University of Illinois, Chicago",0.0
